postal_code,postal_code_score
1090,265000.0
4254,266000.0
4367,266000.0
4252,266000.0
4260,266000.0
4261,266000.0
4263,266000.0
4280,266000.0
4287,266000.0
4300,266000.0
4317,266000.0
4347,266000.0
4350,266000.0
4351,266000.0
4357,266000.0
4360,266000.0
4250,266000.0
4219,266000.0
4253,266000.0
4257,266000.0
4470,266000.0
5646,269000.0
5020,269000.0
5021,269000.0
5024,269000.0
5030,269000.0
5031,269000.0
5032,269000.0
5060,269000.0
5070,269000.0
5080,269000.0
5081,269000.0
5100,269000.0
5101,269000.0
5140,269000.0
5150,269000.0
5004,269000.0
5170,269000.0
5300,269000.0
5310,269000.0
5330,269000.0
5332,269000.0
5333,269000.0
5334,269000.0
5336,269000.0
5340,269000.0
5350,269000.0
5351,269000.0
5352,269000.0
5354,269000.0
5353,269000.0
5644,269000.0
5190,269000.0
5003,269000.0
5022,269000.0
5001,269000.0
8904,269000.0
8902,269000.0
5002,269000.0
8640,269000.0
8770,269000.0
8810,269000.0
8906,269000.0
8830,269000.0
8840,269000.0
5640,269000.0
8870,269000.0
5641,269000.0
8880,269000.0
8890,269000.0
5380,269000.0
8908,269000.0
8900,269000.0
8940,269000.0
5000,269000.0
8980,269000.0
8920,269000.0
8972,269000.0
8970,269000.0
8958,269000.0
8978,269000.0
8956,269000.0
8954,269000.0
8953,269000.0
8950,269000.0
8952,269000.0
8951,269000.0
8957,269000.0
6743,270000.0
6742,270000.0
6741,270000.0
6740,270000.0
6723,270000.0
6724,270000.0
6721,270000.0
6720,270000.0
6747,270000.0
6730,270000.0
6750,270000.0
6767,270000.0
6761,270000.0
1020,270000.0
9500,270000.0
6824,270000.0
6760,270000.0
6821,270000.0
6820,270000.0
6823,270000.0
6812,270000.0
6811,270000.0
6810,270000.0
6769,270000.0
6762,270000.0
6813,270000.0
4761,275000.0
4770,275000.0
4771,275000.0
4780,275000.0
4782,275000.0
4800,275000.0
4784,275000.0
4790,275000.0
4791,275000.0
4760,275000.0
4783,275000.0
4750,275000.0
4710,275000.0
4730,275000.0
4728,275000.0
4721,275000.0
4720,275000.0
4711,275000.0
4801,275000.0
4701,275000.0
4700,275000.0
4654,275000.0
4653,275000.0
4652,275000.0
4651,275000.0
4650,275000.0
4731,275000.0
4802,275000.0
4840,275000.0
4821,275000.0
1140,275000.0
8400,275000.0
4990,275000.0
4987,275000.0
4983,275000.0
4980,275000.0
4970,275000.0
4960,275000.0
4950,275000.0
4910,275000.0
4900,275000.0
4820,275000.0
4890,275000.0
4877,275000.0
4861,275000.0
4860,275000.0
4852,275000.0
4851,275000.0
4850,275000.0
4845,275000.0
4841,275000.0
4837,275000.0
4834,275000.0
1400,275000.0
4830,275000.0
4880,275000.0
4831,275000.0
2610,279000.0
9100,279000.0
8420,280500.0
8434,280500.0
8450,280500.0
8460,280500.0
8470,280500.0
8433,280500.0
8432,280500.0
8431,280500.0
8430,280500.0
8480,280500.0
8421,280500.0
6600,285000.0
8530,285000.0
8520,285000.0
8511,285000.0
8510,285000.0
8501,285000.0
6674,285000.0
6673,285000.0
6672,285000.0
6671,285000.0
6662,285000.0
6661,285000.0
6660,285000.0
6666,285000.0
6670,285000.0
6642,285000.0
6640,285000.0
6637,285000.0
6663,285000.0
8540,285000.0
2300,285000.0
8551,285000.0
6698,285000.0
6692,285000.0
6690,285000.0
6688,285000.0
6687,285000.0
6686,285000.0
6681,285000.0
6680,285000.0
8930,285000.0
8860,285000.0
8793,285000.0
8550,285000.0
8791,285000.0
8792,285000.0
8531,285000.0
8583,285000.0
8582,285000.0
8581,285000.0
8580,285000.0
8573,285000.0
8552,285000.0
8553,285000.0
8554,285000.0
8587,285000.0
8560,285000.0
8570,285000.0
8572,285000.0
8610,287148.5
8650,287148.5
8647,287148.5
8600,287148.5
8680,287148.5
1480,289000.0
3800,290484.0
9988,295000.0
9992,295000.0
9991,295000.0
9990,295000.0
9981,295000.0
9982,295000.0
9060,295000.0
9900,295000.0
9960,295000.0
9961,295000.0
9968,295000.0
9970,295000.0
9971,295000.0
9980,295000.0
8370,295000.0
9300,295000.0
3740,296068.0
3631,296068.0
3621,296068.0
3630,296068.0
3700,296068.0
3717,296068.0
3720,296068.0
3721,296068.0
3722,296068.0
3723,296068.0
3724,296068.0
3730,296068.0
3732,296068.0
3620,296068.0
3570,296068.0
3746,296068.0
3770,296068.0
3790,296068.0
3791,296068.0
3792,296068.0
3793,296068.0
3798,296068.0
3830,296068.0
3831,296068.0
3832,296068.0
3840,296068.0
3870,296068.0
3742,296068.0
9700,298500.0
9160,299000.0
9200,299000.0
9150,299000.0
9140,299000.0
1030,299000.0
9130,299000.0
9190,299000.0
9170,299000.0
9112,299000.0
9111,299000.0
6700,300000.0
6706,300000.0
6782,300000.0
6717,300000.0
6780,300000.0
6781,300000.0
6630,300000.0
6792,300000.0
6791,300000.0
6790,300000.0
6704,300000.0
9520,305000.0
9521,305000.0
9620,305000.0
9551,305000.0
9552,305000.0
8630,305000.0
9550,305000.0
8660,305000.0
9571,305000.0
8691,305000.0
9308,305000.0
9310,305000.0
9320,305000.0
9340,305000.0
9400,305000.0
9401,305000.0
9402,305000.0
8690,305000.0
9403,305000.0
9406,305000.0
9420,305000.0
9450,305000.0
9451,305000.0
9470,305000.0
9472,305000.0
9506,305000.0
9404,305000.0
9473,305000.0
2500,305000.0
9572,305000.0
9570,305000.0
9630,305000.0
9636,305000.0
9661,305000.0
9667,305000.0
9680,305000.0
9681,305000.0
9688,305000.0
9660,305000.0
9750,305000.0
9770,305000.0
9771,305000.0
9772,305000.0
9790,305000.0
9690,305000.0
8620,306000.0
8700,309000.0
8710,309000.0
8720,309000.0
8740,309000.0
8750,309000.0
8780,309000.0
8760,309000.0
8850,309000.0
8851,309000.0
9120,309000.0
8755,309000.0
1500,310000.0
3980,315000.0
3971,315000.0
3501,315000.0
3600,315000.0
3590,315000.0
3510,315000.0
3583,315000.0
3582,315000.0
3581,315000.0
3580,315000.0
3560,315000.0
3550,315000.0
3545,315000.0
3540,315000.0
3520,315000.0
3512,315000.0
3511,315000.0
3668,315000.0
3690,315000.0
3803,315000.0
3806,315000.0
3850,315000.0
3890,315000.0
3891,315000.0
3945,315000.0
3970,315000.0
3665,315000.0
3530,319000.0
3660,319000.0
3650,319000.0
8500,319000.0
8790,319000.0
3990,319000.0
3960,319000.0
3950,319000.0
3941,319000.0
3640,319000.0
3940,319000.0
3930,319000.0
3920,319000.0
3910,319000.0
3900,319000.0
3670,319000.0
3680,319000.0
2600,319500.0
9290,325000.0
1190,325000.0
9280,325000.0
9270,325000.0
9250,325000.0
9255,325000.0
9220,325000.0
9260,325000.0
9230,325000.0
9240,325000.0
1800,327000.0
3500,328840.0
2800,329500.0
2490,334000.0
2320,334000.0
2310,334000.0
2323,334000.0
2290,334000.0
2288,334000.0
2280,334000.0
2275,334000.0
2321,334000.0
2270,334000.0
2260,334000.0
2250,334000.0
2235,334000.0
2230,334000.0
2200,334000.0
2328,334000.0
2330,334000.0
2340,334000.0
2480,334000.0
2450,334000.0
2440,334000.0
2470,334000.0
2431,334000.0
2430,334000.0
2491,334000.0
2400,334000.0
2382,334000.0
2381,334000.0
2380,334000.0
2460,334000.0
2360,334000.0
2350,334000.0
2387,334000.0
